agency,state,population,latitude,longitude,violent_crime_rate,property_crime_rate,homicide_rate
Gresham Police Dept,OR,108202,45.5001,122.4302,450.08410195744995,4489.750651559121,3.6967893384595474
Hampton Police Dept,VA,137905,37.0299,76.3452,227.69297704941806,3376.962401653312,6.526231826257206
Hartford Police Dept,CT,125203,41.7637,72.6851,1321.8533102241959,4248.300759566464,18.37016684903716
Hayward Police Dept,CA,147424,37.6688,112.0808,415.80746689819836,3250.4883872368137,4.069893640112872
Hialeah Police Dept,FL,233107,25.8576,80.2781,347.47991265813556,3086.1364094600335,1.7159501859661013
High Point Police Dept,NC,106801,35.9557,80.0053,520.5943764571493,4135.729066207245,4.681604104830479
Hollywood Police Dept,FL,145313,26.0112,80.1495,442.493101099007,5307.8527041627385,3.440848375575482
Huntington Beach Police Dept,CA,194677,33.6603,117.9992,160.7791367239068,2809.782357443355,1.5410140900054963
Huntsville Police Dept,AL,183691,34.7304,86.5861,923.2896549096037,5041.6188054940085,7.621494792885879
Independence Police Dept,MO,117433,39.0911,94.4155,457.28202464383946,6090.281266764879,4.25774697061303
Inglewood Police Dept,CA,111488,33.9617,118.3531,699.6268656716418,2397.5674512055107,12.557405281285877
Irvine Police Department,CA,217528,33.6839,117.7947,50.56820271413335,1518.88492515906,0.9194218675296973
Irving Police Dept,TX,224007,32.814,96.9489,226.3322128326347,2815.537014468298,1.3392438629149983
Jackson Police Dept,MS,175939,32.2988,90.1848,948.0558602697525,6575.006110072241,35.807865226015835
Joliet,IL,148471,41.525,88.0817,340.80729570084395,2582.996005954025,7.408854254366173
Kansas City Police Dept,KS,147201,39.0997,94.5786,595.7839960326356,5120.889124394535,10.190148164754316
Kent Police Dept,WA,122102,47.3809,122.2348,444.7101603577337,4478.223124928339,1.6379748079474536
Killeen Police Dept,TX,131965,31.1171,97.7278,644.8679574129504,3778.274542492328,9.09332019853749
Knoxville Police Dept,TN,182254,35.9606,83.9207,973.3668396852744,6676.945361967364,9.876326445510111
Lafayette Police Dept,LA,122852,30.2241,92.0198,634.0963110083678,5547.325236870381,8.953863184970533
Lakewood,CO,146404,39.7047,105.0814,461.73601814158087,4579.792901833283,1.3660828939100025
Lancaster,CA,159155,40.0379,76.3055,539.7254249002544,2197.8574345763564,5.026546448430775
Lansing City Police Dept,MI,114688,42.7325,84.5555,939.94140625,3290.666852678571,11.335100446428571
Laredo,TX,245558,27.5306,99.4803,421.8962526164898,4351.314149813893,3.257886120590655
Lewisville Police Dept,TX,100216,33.0462,96.9942,167.63790213139617,2585.4155025145683,1.9956893110880498
Little Rock Police Dept,AR,196055,34.7465,92.2896,1315.4471959399148,8061.003289893143,22.952742852770907
Lowell Police Dept,MA,108539,42.6334,71.3162,538.9767733257171,2879.1494301587445,0.0
