agency,state,year,months_reported,population,violent_crime_total,property_crime_total,homicide_total,latitude,longitude,source_file
Spokane Police Dept,WA,,12,212163,1369,18522,13,47.6588,117.426,crime_population.csv
Springfield Police Dept,IL,,12,117131,1138,6945,10,44.0642,123.022,crime_population.csv
Springfield Police Dept,MA,,12,154518,1606,7024,11,42.1015,72.5898,crime_population.csv
Springfield Police Dept,MO,,12,160962,1596,14504,16,37.209,93.2923,crime_population.csv
St. Petersburg Police Dept,FL,,12,248340,2239,12451,15,27.7518,82.6267,crime_population.csv
Stamford Police Dept,CT,,12,124201,351,1932,5,41.0534,73.5387,crime_population.csv
Sterling Heights Police Dept,MI,,12,129974,232,2578,4,42.5803,83.0302,crime_population.csv
Sunnyvale Dept Of Public Safety,CA,,12,143606,170,2555,3,37.3688,122.0363,crime_population.csv
Surprise Police Dept,AZ,,12,120793,162,2488,3,33.6292,112.3679,crime_population.csv
Syracuse Police Dept,NY,,12,145934,1372,5976,14,43.0481,76.1474,crime_population.csv
Tacoma Police Dept,WA,,12,202646,1615,12866,12,47.2529,122.4443,crime_population.csv
Tallahassee Police Dept,FL,,12,185461,1582,8617,12,30.4383,84.2807,crime_population.csv
Temecula,CA,,12,103414,97,2440,0,33.4936,117.1484,crime_population.csv
Tempe Police Dept,AZ,,12,166061,878,7824,11,33.4255,111.94,crime_population.csv
Thornton Police Dept,CO,,12,123115,332,3257,1,39.868,104.9719,crime_population.csv
Thousand Oaks,CA,,12,129171,157,1838,0,34.1706,118.8376,crime_population.csv
Topeka Police Dept,KS,,12,128843,772,6841,15,39.0558,95.689,crime_population.csv
Torrance Police Dept,CA,,12,147851,190,2690,4,33.8358,118.3406,crime_population.csv
Tyler Police Dept,TX,,12,100040,537,4506,4,32.3513,95.3011,crime_population.csv
Vallejo Police Dept,CA,,12,117912,878,5844,14,38.1041,122.2566,crime_population.csv
Vancouver Police Dept,WA,,12,166375,592,6478,5,49.2827,123.1207,crime_population.csv
Ventura Police Dept,CA,,12,108511,310,3885,1,34.2746,119.229,crime_population.csv
Victorville,CA,,12,118687,676,4465,6,34.5362,117.2928,crime_population.csv
Visalia Police Dept,CA,,12,127604,544,5531,5,36.3302,119.2921,crime_population.csv
City Of Waco Police Dept,TX,,12,128595,635,5844,6,31.5493,97.1467,crime_population.csv
Warren Police Dept,MI,,12,134340,715,3787,0,42.5145,83.0147,crime_population.csv
Waterbury Police Dept,CT,,12,110486,328,4713,5,41.5582,73.0515,crime_population.csv
West Covina Police Dept,CA,,12,107861,281,3224,2,34.0686,117.939,crime_population.csv
West Jordan Police Dept,UT,,12,107103,199,2966,2,40.6097,111.9391,crime_population.csv
West Palm Beach Police Dept,FL,,12,102422,821,5404,17,26.7153,80.0534,crime_population.csv
West Valley Police Dept,UT,,12,133725,599,5569,1,40.6916,112.0011,crime_population.csv
Westminster Police Dept,CO,,12,109461,284,2830,2,39.8367,105.0372,crime_population.csv
Wichita Falls Police Dept,TX,,12,105488,475,5021,5,33.9137,98.4934,crime_population.csv
Wilmington Police Dept,NC,,12,109370,618,5910,8,34.225,77.9447,crime_population.csv
Winston-Salem Police Dept,NC,,12,234687,1556,13701,6,30.0999,80.2442,crime_population.csv
Woodbridge Police Dept,NJ,,12,100612,122,1967,0,38.6582,77.2497,crime_population.csv
Worcester Police Dept,MA,,12,183247,1758,6432,8,42.2626,71.8023,crime_population.csv
Yonkers Police Dept,NY,,12,198464,1133,2565,4,40.9312,73.8987,crime_population.csv
